ID,main_category,goal,pledged,state,backers
1000752960,Film & Video,500,10,0,1
1000754401,Games,50000,1825,0,32
1000758916,Music,4000,4629,1,37
1000761521,Film & Video,5000,310,live,4
1000767040,Design,30000,1041,0,46
1000770149,Publishing,5500,5721,1,140
1000772297,Design,5000,26407,1,327
1000776914,Technology,40000,47056.86,1,3080
1000777557,Music,4000,30,0,2
1000781363,Publishing,19650,20313,1,164
1000781512,Film & Video,800,850,1,19
1000785030,Art,275,642,1,40
1000786724,Games,14000,113,0,18
1000788629,Music,15000,18009,1,69
100078996,Technology,55000,56680,1,24
1000802137,Photography,2500,0,0,0
1000804307,Games,2000,3.69,0,3
1000804742,Journalism,10000,337.5,0,15
1000810416,Fashion,200,15,0,1
